Day Time Speed Rpm Engine_Load MAF Intake_Temp Ambiant_Air_Temp Coolant_temp Spark_adv 
2024-11-09 11:58:42 0.0        0.0        0.0        0.0        10         12         27         0.0        
2024-11-09 11:58:43 0.0        0.0        0.0        0.0        10         12         27         0.0        
2024-11-09 11:58:44 0.0        0.0        0.0        0.0        10         12         27         0.0        
2024-11-09 11:58:45 0.0        0.0        0.0        0.0        10         12         27         0.0        
2024-11-09 11:58:46 0.0        0.0        0.0        0.0        10         12         27         0.0        
2024-11-09 11:58:47 0.0        0.0        0.0        0.0        10         12         27         0.0        
2024-11-09 11:58:48 0.0        0.0        0.0        0.0        10         12         27         0.0        
2024-11-09 11:58:50 0.0        0.0        0.0        0.0        10         12         27         0.0        
2024-11-09 11:58:51 0.0        0.0        0.0        0.0        10         12         27         0.0        
2024-11-09 11:58:52 0.0        0.0        0.0        0.0        10         12         27         0.0        
2024-11-09 11:58:53 0.0        0.0        0.0        0.0        10         12         27         0.0        
2024-11-09 11:58:54 0.0        0.0        0.0        0.0        10         12         27         0.0        
2024-11-09 11:58:55 0.0        0.0        0.0        0.0        10         12         27         0.0        
2024-11-09 11:58:57 0.0        0.0        0.0        0.0        10         12         27         0.0        
2024-11-09 11:58:58 0.0        0.0        0.0        0.0        10         12         27         0.0        
2024-11-09 11:58:59 0.0        0.0        0.0        0.0        10         12         27         0.0        
2024-11-09 11:59:00 0.0        0.0        0.0        0.0        10         12         27         0.0        
2024-11-09 11:59:01 0.0        0.0        0.0        0.0        10         12         27         0.0        
2024-11-09 11:59:02 0.0        0.0        0.0        0.0        10         12         27         0.0        
2024-11-09 11:59:04 0.0        0.0        0.0        0.0        10         12         27         0.0        
2024-11-09 11:59:05 0.0        0.0        0.0        0.0        10         12         27         0.0        
2024-11-09 11:59:06 0.0        0.0        0.0        0.0        10         12         27         0.0        
2024-11-09 11:59:07 0.0        0.0        0.0        0.0        10         12         27         0.0        
2024-11-09 11:59:08 0.0        0.0        0.0        0.0        10         12         27         0.0        
2024-11-09 11:59:09 0.0        0.0        0.0        0.0        10         12         27         0.0        
2024-11-09 11:59:11 0.0        0.0        0.0        0.0        10         12         27         0.0        
2024-11-09 11:59:12 0.0        0.0        0.0        0.0        10         12         27         0.0        
2024-11-09 11:59:13 0.0        0.0        0.0        0.0        10         12         27         0.0        
2024-11-09 11:59:14 0.0        0.0        0.0        0.0        10         12         27         0.0        
2024-11-09 11:59:15 0.0        0.0        0.0        0.0        10         12         27         0.0        
2024-11-09 11:59:16 0.0        0.0        0.0        0.0        10         12         27         0.0        
2024-11-09 11:59:17 0.0        0.0        0.0        0.0        10         12         27         0.0        
Day Time Speed Rpm Engine_Load MAF Intake_Temp Ambiant_Air_Temp Coolant_temp Spark_adv 
2024-11-09 12:00:37 0.0        0.0        0.0        0.0        11         12         27         0.0        
2024-11-09 12:00:38 0.0        0.0        0.0        0.0        11         12         27         0.0        
2024-11-09 12:00:39 0.0        0.0        0.0        0.0        11         12         27         0.0        
2024-11-09 12:00:41 0.0        0.0        0.0        0.0        11         12         27         0.0        
2024-11-09 12:00:42 0.0        0.0        0.0        0.0        11         12         27         0.0        
2024-11-09 12:00:43 0.0        0.0        0.0        0.0        11         12         27         0.0        
2024-11-09 12:00:44 0.0        0.0        0.0        0.0        11         12         27         0.0        
2024-11-09 12:00:45 0.0        0.0        0.0        0.0        11         12         27         0.0        
2024-11-09 12:00:46 0.0        0.0        0.0        0.0        11         12         27         0.0        
2024-11-09 12:00:47 0.0        182.25     60.0       9.8        11         12         27         15.5       
2024-11-09 12:00:49 0.0        1474.5     21.5686274 10.02      11         12         27         -7.5       
2024-11-09 12:00:50 0.0        869.0      27.0588235 7.38       11         12         27         9.0        
2024-11-09 12:00:51 0.0        983.25     26.6666666 7.02000000 11         12         27         2.0        
2024-11-09 12:00:52 0.0        796.5      31.3725490 7.16       11         12         28         0.5        
2024-11-09 12:00:53 0.0        834.25     27.4509803 6.44       11         12         28         3.0        
2024-11-09 12:00:54 0.0        844.5      26.6666666 6.3        11         12         28         6.0        
2024-11-09 12:00:56 0.0        845.75     24.3137254 5.66       11         12         28         10.5       
2024-11-09 12:00:57 0.0        783.0      24.7058823 5.47       11         12         28         6.5        
2024-11-09 12:00:58 0.0        855.0      21.9607843 5.25       11         12         29         9.5        
2024-11-09 12:00:59 0.0        800.0      21.5686274 4.97       11         12         29         12.5       
2024-11-09 12:01:00 0.0        810.5      22.7450980 5.25       11         12         29         9.0        
2024-11-09 12:01:01 0.0        806.25     21.9607843 5.19       11         12         29         12.0       
2024-11-09 12:01:03 0.0        810.5      21.9607843 5.16       11         12         29         12.0       
2024-11-09 12:01:04 0.0        802.5      21.9607843 5.13       11         12         30         11.0       
2024-11-09 12:01:05 0.0        823.75     22.3529411 5.3        11         12         30         11.0       
2024-11-09 12:01:06 0.0        822.0      21.9607843 5.13       11         12         30         11.0       
2024-11-09 12:01:07 0.0        810.5      22.3529411 5.11       11         12         30         12.0       
2024-11-09 12:01:09 0.0        805.0      22.7450980 5.22       11         12         30         12.0       
2024-11-09 12:01:10 0.0        817.25     23.1372549 5.3        11         12         30         9.5        
2024-11-09 12:01:11 0.0        825.0      22.7450980 5.02000000 11         12         30         10.5       
2024-11-09 12:01:12 0.0        825.0      22.3529411 5.22       11         12         30         11.0       
2024-11-09 12:01:13 0.0        805.0      22.3529411 4.94       11         12         30         11.0       
2024-11-09 12:01:14 0.0        884.25     20.7843137 5.19       11         12         31         5.0        
2024-11-09 12:01:16 0.0        872.75     19.2156862 4.66       11         12         31         6.0        
2024-11-09 12:01:17 0.0        862.25     19.2156862 4.66       11         12         31         6.0        
2024-11-09 12:01:18 0.0        860.5      18.4313725 4.33       11         12         31         6.0        
2024-11-09 12:01:19 0.0        833.0      18.0392156 4.33       11         12         31         9.0        
2024-11-09 12:01:20 0.0        818.25     18.4313725 4.38       11         12         31         10.5       
2024-11-09 12:01:21 0.0        1446.5     22.7450980 10.88      11         12         32         15.5       
2024-11-09 12:01:23 1.0        1127.25    35.2941176 12.58      11         12         32         15.0       
2024-11-09 12:01:24 4.0        1045.5     37.2549019 11.44      11         12         32         6.5        
2024-11-09 12:01:25 4.0        868.5      22.3529411 5.02000000 11         12         32         -3.0       
2024-11-09 12:01:26 1.0        852.0      20.7843137 5.02000000 11         12         32         0.0        
2024-11-09 12:01:27 0.0        1035.75    29.8039215 11.19      11         12         33         12.5       
2024-11-09 12:01:28 2.0        1184.0     28.6274509 10.55      11         12         33         17.0       
2024-11-09 12:01:30 4.0        939.25     22.3529411 6.61       11         12         33         -4.0       
2024-11-09 12:01:31 2.0        1229.75    22.3529411 7.38       11         12         33         9.5        
2024-11-09 12:01:32 4.0        1119.75    25.8823529 9.88       11         12         33         -16.5      
2024-11-09 12:01:33 3.0        1162.0     29.8039215 11.05      11         12         33         16.5       
2024-11-09 12:01:34 5.0        1032.5     24.7058823 9.27       11         12         34         -4.5       
2024-11-09 12:01:35 2.0        880.0      22.7450980 5.27000000 11         12         34         -4.0       
2024-11-09 12:01:37 0.0        825.0      21.9607843 4.88       12         12         34         17.0       
2024-11-09 12:01:38 1.0        1514.75    25.0980392 13.02      12         12         35         29.0       
2024-11-09 12:01:39 5.0        1384.75    27.4509803 12.77      12         12         35         28.5       
2024-11-09 12:01:40 10.0       1212.75    31.3725490 12.55      12         12         35         15.5       
2024-11-09 12:01:41 13.0       1604.0     22.7450980 11.86      12         12         35         40.5       
2024-11-09 12:01:43 14.0       1744.25    15.6862745 9.38       12         12         36         33.5       
2024-11-09 12:01:44 14.0       1709.5     13.7254901 8.05       12         12         36         30.0       
2024-11-09 12:01:45 12.0       1497.0     12.9411764 5.58       12         12         36         -16.0      
2024-11-09 12:01:46 8.0        1032.0     16.8627450 5.27000000 12         12         36         9.5        
2024-11-09 12:01:47 7.0        927.5      19.2156862 5.13       12         12         36         29.0       
2024-11-09 12:01:48 8.0        966.0      19.6078431 5.33       12         12         36         30.0       
2024-11-09 12:01:50 9.0        1035.75    19.6078431 6.13       12         12         37         30.5       
2024-11-09 12:01:51 9.0        1161.25    20.3921568 7.91       12         12         37         14.0       
2024-11-09 12:01:52 11.0       1397.0     25.4901960 13.61      12         12         37         36.0       
2024-11-09 12:01:53 15.0       1782.0     30.1960784 18.88      12         12         37         36.5       
2024-11-09 12:01:54 19.0       2263.75    28.2352941 21.27      12         12         38         45.0       
2024-11-09 12:01:55 20.0       2384.0     14.5098039 11.3       12         12         38         30.5       
2024-11-09 12:01:57 19.0       2207.5     13.7254901 10.52      12         12         38         30.0       
2024-11-09 12:01:58 16.0       1881.5     12.5490196 7.52000000 12         12         38         -6.0       
2024-11-09 12:01:59 12.0       1202.25    15.6862745 5.83       12         12         39         6.0        
2024-11-09 12:02:00 8.0        778.75     30.1960784 7.3        12         12         39         -3.0       
2024-11-09 12:02:01 5.0        795.75     27.0588235 6.16       12         12         39         -2.5       
2024-11-09 12:02:02 5.0        1511.0     20.7843137 11.75      12         12         39         36.5       
2024-11-09 12:02:04 9.0        1520.25    25.0980392 12.88      12         12         39         30.5       
2024-11-09 12:02:05 13.0       1562.5     23.9215686 12.66      12         12         39         36.5       
2024-11-09 12:02:06 16.0       1864.0     22.7450980 14.13      12         12         39         43.5       
2024-11-09 12:02:07 18.0       2169.0     25.0980392 18.69      12         12         40         45.0       
2024-11-09 12:02:08 20.0       2489.0     25.0980392 20.16      12         12         40         47.0       
2024-11-09 12:02:09 21.0       1541.5     12.5490196 6.27000000 12         10         40         3.0        
2024-11-09 12:02:11 20.0       1375.5     27.4509803 13.27      12         10         41         34.5       
2024-11-09 12:02:12 23.0       1512.25    32.1568627 16.88      12         10         41         31.5       
2024-11-09 12:02:13 26.0       1701.5     22.7450980 12.5       12         10         41         39.0       
2024-11-09 12:02:14 27.0       1789.5     20.0       11.38      12         10         42         39.0       
2024-11-09 12:02:15 27.0       1817.5     19.2156862 11.75      12         10         42         38.0       
2024-11-09 12:02:16 28.0       1853.0     18.8235294 11.61      12         10         42         38.0       
2024-11-09 12:02:18 28.0       1875.0     18.8235294 12.08      12         10         42         38.0       
2024-11-09 12:02:19 28.0       1893.25    21.9607843 15.3       12         10         42         44.0       
2024-11-09 12:02:20 30.0       2020.25    28.2352941 19.22      12         10         42         42.5       
2024-11-09 12:02:21 33.0       2175.25    29.0196078 21.11      12         10         43         42.5       
2024-11-09 12:02:22 35.0       2333.25    28.2352941 22.16      12         10         43         45.0       
2024-11-09 12:02:23 35.0       1848.75    11.7647058 5.97       12         10         43         0.0        
2024-11-09 12:02:25 34.0       1567.75    21.9607843 14.08      12         10         44         36.0       
2024-11-09 12:02:26 35.0       1571.5     38.0392156 20.91      12         10         44         29.0       
2024-11-09 12:02:27 38.0       1688.0     38.8235294 22.47      12         10         45         30.0       
2024-11-09 12:02:28 41.0       1798.5     38.0392156 23.38      12         10         45         32.0       
2024-11-09 12:02:29 43.0       1918.75    36.0784313 23.05      12         10         45         33.0       
2024-11-09 12:02:31 45.0       1998.75    30.5882352 20.19      12         10         45         37.5       
2024-11-09 12:02:32 46.0       2023.75    15.6862745 10.16      12         9          45         33.5       
2024-11-09 12:02:33 45.0       1940.75    11.7647058 7.91       12         9          46         3.0        
2024-11-09 12:02:34 42.0       1838.25    10.5882352 6.13       12         9          46         -6.0       
2024-11-09 12:02:35 39.0       1701.5     10.5882352 6.27000000 12         9          46         -7.5       
2024-11-09 12:02:36 36.0       1571.0     10.5882352 5.75       12         9          46         -9.0       
2024-11-09 12:02:38 33.0       1444.5     10.9803921 5.38       12         9          47         -9.0       
2024-11-09 12:02:39 28.0       828.75     21.9607843 6.44       12         9          47         3.5        
2024-11-09 12:02:40 21.0       764.75     29.8039215 5.97       12         9          47         -5.5       
2024-11-09 12:02:41 12.0       769.5      27.0588235 6.02000000 12         9          47         -1.0       
2024-11-09 12:02:42 11.0       1938.25    21.1764705 15.0       12         9          47         25.5       
2024-11-09 12:02:44 13.0       2064.75    22.7450980 15.63      12         9          47         27.0       
2024-11-09 12:02:45 16.0       1974.25    28.2352941 18.94      11         9          47         42.0       
2024-11-09 12:02:46 21.0       2475.5     29.4117647 24.55      11         9          47         44.0       
2024-11-09 12:02:47 23.0       1944.5     10.9803921 6.94       11         9          47         -3.0       
2024-11-09 12:02:48 22.0       1535.5     22.3529411 12.08      11         9          48         34.5       
2024-11-09 12:02:49 25.0       1656.25    46.2745098 27.5800000 11         9          48         27.0       
2024-11-09 12:02:50 30.0       2027.5     36.0784313 24.05      12         9          48         33.0       
2024-11-09 12:02:52 33.0       2198.25    18.8235294 12.66      12         9          48         41.0       
2024-11-09 12:02:53 32.0       2122.0     11.7647058 8.94       12         9          48         12.0       
2024-11-09 12:02:54 29.0       1937.75    10.5882352 6.94       12         9          48         -4.0       
2024-11-09 12:02:55 26.0       1713.25    10.9803921 6.27000000 12         9          48         -7.5       
2024-11-09 12:02:56 22.0       1425.0     11.7647058 5.22       12         9          48         10.5       
2024-11-09 12:02:58 15.0       772.0      28.2352941 7.69       12         9          48         0.5        
2024-11-09 12:02:59 9.0        787.25     26.2745098 5.94       12         9          49         0.0        
2024-11-09 12:03:00 4.0        748.25     27.4509803 6.0        12         9          49         -1.5       
2024-11-09 12:03:01 6.0        1414.75    29.0196078 13.61      12         9          49         31.5       
2024-11-09 12:03:02 12.0       1492.25    32.9411764 17.94      12         9          49         31.5       
2024-11-09 12:03:03 18.0       2117.75    29.0196078 21.3300000 12         9          49         42.5       
2024-11-09 12:03:05 21.0       2551.75    27.0588235 23.5       12         9          49         47.0       
2024-11-09 12:03:06 23.0       2311.25    10.9803921 7.02000000 12         9          49         -1.5       
2024-11-09 12:03:07 22.0       1525.75    18.0392156 10.66      12         9          49         33.0       
2024-11-09 12:03:08 24.0       1574.5     27.8431372 15.52      12         9          50         33.5       
